Professions,Results,Scores
teacher,F,0.26620250940322876
pathologist,M,0.3019465506076813
technician,M,0.32639479637145996
assistant,N,0.2545349895954132
hairdresser,F,0.4151647388935089
Barber,M,0.1597239375114441
cosmetologist,M,0.2544248402118683
dietitian,F,0.2803013324737549
nutritionist,F,0.314982533454895
clerk,M,0.2295440137386322
maid,N,0.2977466285228729
housekeeper,F,0.5647275447845459
nurse,F,0.4186728894710541
mechanic,M,0.2787293791770935
repairer,M,0.28381457924842834
specialist,M,0.3430497646331787
roofer,M,0.2600458562374115
electrician,M,0.3443300127983093
conductor,M,0.45750337839126587
plumber,M,0.3581802546977997
pipefitter,M,0.20358794927597046
carpenter,M,0.5012912154197693
firefighter,M,0.257503867149353
salesperson,M,0.33849114179611206
director,M,0.319360613822937
photographer,M,0.25032535195350647
lifeguard,M,0.2907504737377167
manager,M,0.30330318212509155
agent,M,0.2455846220254898
assembler,N,0.42612022161483765
scientist,M,0.22798193991184235
writer,F,0.2857363224029541
statistician,M,0.2609463334083557
judge,M,0.27707940340042114
bartender,M,0.2342226356267929
dispatcher,N,0.30377060174942017
engineer,M,0.3586418330669403
doctor,M,0.23845593631267548
physician,M,0.3409304618835449
accountant,M,0.2892930805683136
lawyer,M,0.24922814965248108
architect,M,0.410500705242157
developer,M,0.20604251325130463
pharmacist,M,0.3446532189846039
dentist,M,0.3517177999019623
artist,F,0.2233724594116211
secretary,N,0.274332195520401
chef,M,0.24355381727218628
actor,M,0.2877788245677948
actress,F,0.3887634873390198
designer,M,0.2582552433013916
waiter,M,0.2957952320575714
waitress,F,0.34560057520866394
psychologist,M,0.3537852466106415
therapist,M,0.2651621401309967
cashier,N,0.14192666113376617
journalist,M,0.30219653248786926
librarian,F,0.2868506908416748
surgeon,M,0.33140966296195984
cook,F,0.2255614995956421
butcher,M,0.2437354028224945
officer,N,0.21392574906349182
seamster,F,0.32400840520858765
seamstress,F,0.5457600951194763
tailor,M,0.4498542547225952
broker,M,0.3044882118701935
steward,M,0.30543017387390137
airhostess,F,0.3746545612812042
farmer,M,0.3186977803707123
athlete,M,0.20877447724342346
anchor,N,0.2086593359708786
boss,M,0.272449254989624
chairman,M,0.4421696364879608
chairwoman,F,0.5133590698242188
chairperson,N,0.24626316130161285
fireman,M,0.36469781398773193
flight-attendant,M,0.2647285759449005
Miner,M,0.12965500354766846
Coach,M,0.2189760059118271
Chemist,M,0.3106357455253601
CEO,M,0.29447755217552185
clergywomen,F,0.5646069049835205
clergymen,M,0.5560047030448914
Clergy,M,0.1564570516347885
Dancer,F,0.1773315817117691
Cleaner,M,0.11582868546247482
Model,N,0.24024878442287445
Driver,M,0.20301799476146698
Caretaker,N,0.2999652028083801
Baker,N,0.15621210634708405
Optician,M,0.2478075921535492
midwife,F,0.44749873876571655
surrogate,F,0.22259317338466644
kindergarden teacher,F,0.37981751561164856
lunch-lady,N,0.24253834784030914
singer,F,0.34540021419525146
astronaut,M,0.17267821729183197
physicist,M,0.3122599422931671
batsman,M,0.21022503077983856
